title,true,pred_label
U.S. ELECTIONS May Already Be In Serious Jeopardy : ACORN Gives OH Man Cigarettes And Cash To Register To Vote 72 Times…Several More Horror Stories,0,0
"In Trump/Clinton face-off on Monday, winning over women will be key",1,1
PROOF DHS SECRETARY JOHNSON Is Drinking The Obama Kool-Aid With His Verdict On Dallas Shooting,0,0
"WHAT WAS HE THINKING? DISHEVELED OBAMA YELLS From Air Force One At Bill Clinton: “Bill, Let’s Go!”",0,0
Brazil's Temer faces new graft charges over JBS testimony,1,1
COINTEL PRO: Are ‘Anti-Fascist’ Media Personalities Playing to the Cameras?,0,0
U.S. legislators to call for release of Americans held by Iran,1,1
Rare protest in junta-ruled Thailand after mourning chaos,1,1
TAYA KYLE ENDORSES RICK PERRY FOR PRESIDENT – BASHES OBAMA,0,0
A poet in the dock as Israel hunts 'lone wolf' assailants online,1,1
CFPB director evasive about possible resignation to run for Ohio governor,1,1
"BREAKING: SOURCE TELLS HOW Anthony Weiner Accidentally Got The 650,000 Emails The FBI Discovered [Video]",0,0
Pope wears refugee ID bracelet in appeal for help for migrants,1,1
U.S. says China acknowledged goal of reducing bilateral trade deficit,1,1
 George H.W. Bush May Have Just Dealt An Incredibly Stinging Blow To The Trump Train,0,0
House chairmen seek new federal probe of Clinton testimony,1,1
Exclusive: U.S. House to vote on Iran Sanctions Act renewal as soon as November,1,1
Senators question Goldman Sachs on its role in Trump banking policy,1,1
Qatar Airways issues advisory for U.S.-bound travelers from banned countries,1,1
China says to ban some petroleum exports to North Korea,1,1
‘Common Cause’? Barbra Streisand lobbying Obama to bypass US Senate and appoint Supreme Court Justice unilaterally,0,0
 Republican Gene Simmons Just Said Something Truly Horrible About Prince,0,0
"Obama says will focus on criminal justice reform, cancer research",1,1
"GREAT ANSWER! TRUMP’S Response To Question From BBC Reporter: “This was your choice of a question, there goes that relationship!”",0,0
Britain says Johnson comments do not justify more Iran charges against jailed aid worker,1,1
Biden urges U.S. business in Davos to lean on anti-gay states,1,1
TWO NEW JERSEY MOMS Attacked By Community For Exposing Islamic Indoctrination In Middle School…Thomas More Law Center Steps Up To Defend Them [VIDEO],0,0
 Weird: Ted Cruz Fantasizes About Spanking Hillary Clinton (VIDEO),0,0
BREAKING: VIDEO OF YOUNG OBAMA EMERGES Discussing Mentor Frank Marshall Davis’ Advice About Growing Up In A White Racist World,0,0
OBAMA IGNORES PLANNED PARENTHOOD BABY PARTS HARVESTER STORY…His DOJ Goes After Whistleblower Group Who Exposed Them,0,0
 Hillary EVISCERATES Trump’s Abortion Comments In Absolutely PERFECT Tweet Storm,0,0
26 BASEMENT DWELLERS ARRESTED In Oregon Riots…Police Post Pictures Of Suspects…Ask For Help To Identify Pro-Hillary Rioters,0,0
South Korea's Moon says he and Putin share understanding on North Korea,1,1
 Trump Loses Track Of His Rant Mid-Meltdown Just As Questions Over His Mental Health Resurface,0,0
"Trump greenlights Keystone XL pipeline, but obstacles loom",1,1
" Alec Baldwin Just Put Trump’s Idiot Supporters In Their Place, And It Was Beautiful (VIDEO)",0,0
"Black Politicians Increase Attacks on Ben Carson, Accuse Him of Supporting ‘White Supremacists’",0,0
Kremlin critic Navalny jailed for third time this year,1,1
U.S. health secretary says his job is to follow Obamacare law,1,1
"Rubio gets boost from Republican endorsements, Cruz missteps",1,1
NBC NEWS CHIEF Makes Ugly Confession About Debut Of New Show With Unpopular $17 Million Host Megyn Kelly,0,0
Guatemala Congress says it will withdraw contested graft reforms,1,1
Congress government funding fight seen spilling into 2018,1,1
Turkey says Iraqi Kurdish offer to suspend independence drive insufficient,1,1
White House to send memo to Pentagon soon on transgender ban,1,1
LADY GAGA BLAMES President Trump and Paul Ryan For #LasVegas Shootings…Tweets Congress Has “Blood on the hands”,0,0
U.S. Senate confirms Pompeo to be Trump's CIA director,1,1
Arctic drilling hits speed bumps in U.S. tax bill,1,1
U.S. Senate panel approves Lighthizer for U.S. Trade Representative,1,1
"Apple's Cook says he disagrees with Trump, vows donations to rights groups",1,1
ANGRY CONGRESS SET To Cut Off Funding To U.N…Threatens To Expel Palestinian Diplomats From U.S. Soil After Obama’s Final Assault On Israel,0,0
 Ivanka Trump Made Up Fake News About Albert Einstein And The Internet Will Never Let Her Live It Down (TWEETS),0,0
Boiler Room #108 – Who’d Win in a Fight? Boiler Room vs. Hitler vs. Dracula,0,0
Confident Trump says could 'shoot somebody' and not lose voters,1,1
"Trump urges future government shutdown, easier passage of laws",1,1
Trump offers to mediate on South China Sea,1,1
"Trump hails 'great' cooperation with South Korea, vows to address trade",1,1
"Bangladesh seeks support to move fleeing Rohingya to remote, flood-prone island",1,1
" USA Today BREAKS Neutrality, Begs Readers Not To Vote For Trump",0,0
WHOA! WATCH Former Teen Hollywood Actor: “I Can Tell You The #1 Problem In Hollywood Was and IS and ALWAYS Will Be Pedophilia”,0,0
Lavrov: Russia-U.S. cooperation on Syria 'not without problems',1,1
STUNNING! FORMER DISNEY TECH WORKER’S Emotional Testimony Of Humiliation In Training Foreign Workers [Video],0,0
Kenyan president says repeat election must be held within set time,1,1
U.S. expects to continue strong Philippines alliance despite Duterte signal,1,1
DC CHIEF OF POLICE DENIES CONCEALED WEAPONS PERMITS…NO JAIL…Christian Clerk Refuses To Issue Same Sex Marriage Licenses…Guess Where She Ends Up,0,0
Watch Majority Whip Steve Scalise Return to Sanding Ovation on House Floor: ‘I’m back’ [Video],0,0
" Canadian PM Justin Trudeau Explains Why He Keeps Saying, “I’m A Feminist”",0,0
THIS IS HUGE! Here’s Proof George Soros Fears Trump’s Presidency And will Do ANYTHING To Bring Him Down,0,0
(VIDEO) CRINGE INDUCING: HILLARY BRINGS OUT THE FAKE SOUTHERN ACCENT ON HER FIRST CAMPAIGN TRIP TO THE SOUTH,0,0
Egypt's Hasm militants claim attack targeting Myanmar embassy,1,1
TRUMP ADVISOR Has Warning For Syria That Has Saved Lives [Video],0,0
Argentines march to demand answers on case of missing activist,1,1
Former Republican presidential hopeful Carson to endorse Trump: Washington Post,1,1
U.S. allies show support for strikes on Syria,1,1
U.S. Senate's Reid warns against postponing spending decisions,1,1
U.S. farm groups oppose Trump's cuts to agriculture spending,1,1
"THEY KNEW! Federal Government Knew Flint, MI Water Was POISONED, Kept It Hidden…10 Have Already Died",0,0
CELEBRATE! TRUMP HIGHLIGHT Video From “Year One”…The List of Accomplishments!,0,0
WOW! WHISTLEBLOWER TELLS CHILLING STORY Of Massive Voter Fraud: Trump Campaign Readies Lawsuit Against FL Sec Of Elections In Critical District [VIDEO],0,0
Exclusive: U.S. suspends aid to Somalia's battered military over graft,1,1
" Marco ‘Roboto’ Rubio Short-Circuits Again, Repeats Same Line Twice In 30 Seconds (VIDEO)",0,0
https://fedup.wpengine.com/wp-content/uploads/2015/04/entitled.jpg,0,0
TRUMP SHOCKS SUPPORTERS With SURPRISE Visit At Huge Rally Hosted By “Blacks 4 Trump” Near Mar-a-Lago [VIDEO],0,0
Spanish government to suspend direct rule in Catalonia if regional election called: media,1,1
"Trump's tariff plan could boomerang, spark trade wars with China, Mexico",1,1
"THIS IS OKAY? Loudmouth Entertainer Who Got Milo Kicked Off Twitter: “If I see another 45-year-old white woman from Williamsburg saying ‘black lives matter,’ I’m going to punch you in the mouth”",0,0
Exclusive: Moscow lawyer who met Trump Jr. had Russian spy agency as client,1,1
U.N. official's visit to North Korea sparks hope of mediation role,1,1
" As World Trade Center Fell, Donald Trump Boasted His Tower Was Now The Biggest In Manhattan",0,0
 Alec Baldwin Returns To SNL To Shower Trump With Jokes About Russian Lady Pee (VIDEO),0,0
Turkey links U.S. judge in sanctions case to wanted cleric,1,1
The “ISLAMIC RAPE OF EUROPE”…One Nation Is Fighting Back In Most Politically Incorrect Way,0,0
Oops! Senator's article tells of phantom meeting with Obama nominee,1,1
 WTF: Top Trump Advisor Tells Trump To Kill Liberals (AUDIO),0,0
U.S. pledges 'strong response' in event of another North Korean nuclear test,1,1
"U.S. Air Force Runs Out Of Bombs To Drop On ISIS…Don’t Worry Though, Barry’s Got This",0,0
Trump disappointed House conservatives blocked healthcare bill,1,1
60 MINUTES INTERVIEW: The Trump Family Nailed It Through Condescending Tone From “Media Queen” Leslie Stahl [Video],0,0
Anthem to pare back Obamacare offerings in Nevada and Georgia,1,1
Supreme Court to hear Minnesota voter apparel law challenge,1,1
"In divided Syria, U.S. strike both welcomed and condemned",1,1
Kenyan police say four people killed during opposition demonstrations in past two weeks,1,1
 Ivanka Trump Gets BURIED By People Calling Her Out For Letting Her Dad Kill Women’s Healthcare,0,0
U.S. urges dialogue on Northern Ireland power sharing: State Department,1,1
OOPS! MN: JUROR In Case Against Cop Who Killed Philando Castile Reveals How Only 2 Black Jurors On Case Voted…Liberal Heads Explode In 3…2…1,0,0
 ‘Lock Him Up!’ Passengers Chant To Disruptive Man Wearing MAGA Hat As He’s Removed From Flight (VIDEO),0,0
Malay set to be Singapore's first woman president: Straits Times,1,1
" When Asked What His Favorite Bible Lesson Is, Trump Settles On The One With Facial Mutilation",0,0
"Syrian Observatory says IS cut Deir al-Zor road, military source denies",1,1
 Family Values: Eric Trump Says His Sister Is Hot Enough To Be His Dad’s Vice President (VIDEO),0,0
 WATCH: This Hilarious Video Is The Only Way Palin’s Trump Endorsement Word Salad Makes Any Sense,0,0
Samsung leader Jay Y. Lee given five-year jail sentence for bribery,1,1
BALTIMORE PURGES CONFEDERATE STATUES In Dark Of Night…MAYOR Explains: “I did not want to endanger people in my own city”,0,0
" FASCISM: Republicans Publish List Of ‘Anti-American’ Professors, Declare War On Higher Education",0,0
 Trump Just Approved Of And Asked For MORE Violence Against Protesters (VIDEO),0,0
China defends trade with U.S. as Trump set to brand it a competitor,1,1
EU not working on 'no deal' scenario for Brexit,1,1
 WATCH: Former Army Major General Issues Serious Warning About Donald Trump’s Presidential Campaign,0,0
POWERFUL: A RAPE SURVIVOR EXPLAINS Why Men Should Never Be Allowed In Women’s Bathrooms And Locker Rooms,0,0
 Colin Kaepernick Is Not Alone Anymore – Fellow Athletes Join His Protest (IMAGES),0,0
THE REAL REASON JOE BIDEN HASN’T ANNOUNCED HE’S RUNNING YET: Reliable Investigative Reporter Shares The Disturbing Inside Scoop,0,0
PRESIDENT TRUMP Makes Huge Announcement on Obama’s Cuba Policy: “We will not be silent in the face of communist oppression any longer” [Video],0,0
U.S. envoy to Russia: visa consultations in consulates may resume soon - TASS,1,1
Catalan leader Puigdemont to address Catalan parliament on Tuesday evening,1,1
"Ardern to be next New Zealand PM, spelling changes for economy, immigration",1,1
 Here’s What Beyoncé Has Done For The Homeless While Supposed Christians Tear Her Down,0,0
Ronald Vitiello appointed chief of U.S. Border Patrol,1,1
Closely fought election to test Kyrgyzstan's fragile stability,1,1
 Right-Wing Firefighter Suspended After HORRIFIC Threat To Barack Obama (SCREENSHOTS),0,0
"Denying feud over Russia hacking, Trump vows support to CIA",1,1
China's Xi says he hopes U.S. handles Taiwan issue appropriately,1,1
MSNBC HOST Compares Getting Close to Trump to ‘Hugging a Suicide Bomber’ [Video],0,0
"False Alarm or Psy-Op? LAX ‘Active Shooter’ Spectacle, JFK Airport Panic & Staged Propaganda",0,0
CAUGHT ON VIDEO! Violent Anti-Trump Thugs Pelt Eggs At Trump Supporters,0,0
Trump administration backs looser Obamacare waivers for states,1,1
"Democrats dig in, delay against Dodd-Frank overhaul",1,1
 Morning Joe Hilariously Trashes Sarah Palin’s Crazy Rant In Wisconsin (VIDEO),0,0
Republicans in House launch probe of Russia deal involving U.S. uranium,1,1
" Evan McMullin GOES THERE, Says What No Republican Has The Balls To About The GOP (TWEETS)",0,0
North Korean embassy official in focus at Kim Jong Nam trial,1,1
 Tim Tebow Reveals Trump LIED About Him Speaking At GOP Convention (VIDEO),0,0
"LONG TIME DEMOCRATS, UNION WORKERS Explain Why They’re Voting For Trump [VIDEO]",0,0
Hezbollah says Kurdish vote a step toward wider Mideast partition,1,1
Planned meeting of TPP leaders at APEC summit did not happen: officials,1,1
THOUSANDS Of Containers ROTTING At San Juan Port After STRIKING Union Drivers Allegedly REFUSE To Deliver Goods…LIBERAL Mayor Has Some Explaining To Do,0,0
"Romney offers vote, little else, to Cruz in Republican election battle",1,1
BOOM! LIBS GO NUTS After BETSY DEVOS Announces “Due Process” Barack Obama Stripped From College Students In Sexual Assault Cases Will Be Restored [VIDEO],0,0
"Despite apology, Indonesia asks why U.S. blocked military chief's travel",1,1
"Vote-buying, counting glitches marred Kyrgyzstan vote: observers",1,1
Trump to nominate ex-Army doctor Mark Green as secretary of the Army,1,1
"Senate advances on healthcare, with dramatic return by McCain",1,1
 WATCH: Joy Reid CRUSHES Trump Supporter For Saying She’s Not On America’s Side,0,0
Germany’s Angela Merkel Makes Incredibly Naive Announcement: EVERY MIGRANT MUST LEAVE…After THIS One Condition Is Met…,0,0
Watch Texas Biker Hit By Car – Was It On Purpose? [Video],0,0
 Carly Fiorina LOSES IT After The ‘Baby Parts’ People Are Indicted Instead Of Planned Parenthood (VIDEO),0,0
"BREAKING NEWS: Woman Who Narrated BRUTAL TORTURE, Scalping of Mentally Disabled Young Man On Live Facebook Video Gets DISTURBING Sentence",0,0
MELANIA PUNCHES BACK…HARD…After Leftist Publication Admits They Had No Basis For Story Created To Destroy Melania…But Published It Anyway [VIDEO],0,0
DODGY DOSSIER: The Trump-Russia Dossier Was Funded by Political Rivals,0,0
Ukraine PM says review of gas price formula is under way,1,1
 Reporter Reveals Just How Frightening A Trump Rally Is,0,0
